,wavelength,mua,mus,p,eV
0,400.0,0.4,10.670198576479034,1.0,3.099604960137592
1,404.0,0.4,10.578964415886103,0.980296049,3.068915802116428
2,408.0,0.4,10.489397745527693,0.961168781,3.038828392291757
3,412.0,0.4,10.401452184609825,0.942595909,3.0093252040170797
4,416.0,0.4,10.315083076261924,0.924556213,2.9803893847476846
5,420.0,0.4,10.230247407641922,0.907029478,2.952004723940564
6,424.0,0.4,10.14690373446334,0.88999644,2.9241556227713135
7,428.0,0.4,10.065012109660543,0.873438728,2.8968270655491515
8,432.0,0.4,9.984534015929023,0.85733882,2.870004592719993
9,436.0,0.4,9.905432301896596,0.841679993,2.843674275355589
10,440.0,0.4,9.827671121698787,0.826446281,2.817822691034175
11,444.0,0.4,9.75121587774786,0.811622433,2.7924369010248578
12,448.0,0.4,9.67603316649962,0.797193878,2.7675044286942785
13,452.0,0.4,9.602090727035813,0.783146683,2.743013239059816
14,456.0,0.4,9.529357392292571,0.769467528,2.7189517194189405
15,460.0,0.4,9.45780304277681,0.756143667,2.6953086609892107
16,464.0,0.4,9.387398562623371,0.743162901,2.672073241497924
17,468.0,0.4,9.318115797855478,0.730513551,2.6492350086646086
18,472.0,0.4,9.24992751672031,0.71818443,2.626783864523383
19,476.0,0.4,9.182807371979914,0.706164819,2.604710050535792
20,480.0,0.4,9.116729865045604,0.694444444,2.5830041334479934
21,484.0,0.4,9.051670311851208,0.683013455,2.5616569918492496
22,488.0,0.4,8.987604810367253,0.671862403,2.540659803391469
23,492.0,0.4,8.924510209664561,0.66098222,2.5200040326321886
24,496.0,0.4,8.862364080441358,0.650364204,2.4996814194658
25,500.0,0.4,8.801144686933585,0.64,2.4796839681100735
26,504.0,0.4,8.740830960132952,0.629881582,2.4600039366171367
27,508.0,0.4,8.681402472242095,0.62000124,2.440633826879994
28,512.0,0.4,8.622839412300412,0.610351563,2.421566375107494
29,516.0,0.4,8.565122562918312,0.600925425,2.4027945427423196
30,520.0,0.4,8.508233278061294,0.591715976,2.384311507798148
31,524.0,0.4,8.452153461828843,0.582716625,2.3661106565935817
32,528.0,0.4,8.396865548176391,0.573921028,2.3481855758618124
33,532.0,0.4,8.342352481531655,0.565323082,2.3305300452162347
34,536.0,0.4,8.288597698259519,0.556916908,2.3131380299534268
35,540.0,0.4,8.235585108932304,0.548696845,2.2960036741759944
36,544.0,0.4,8.183299081364748,0.540657439,2.2791212942188177
37,548.0,0.4,8.131724424375404,0.532793436,2.262485372363206
38,552.0,0.4,8.08084637223827,0.525099769,2.2460905508243423
39,556.0,0.4,8.030650569790573,0.517571554,2.2299316259982676
40,560.0,0.4,7.981123058164541,0.510204082,2.214003542955423
41,564.0,0.4,7.932250261112742,0.502992807,2.198301390168505
42,568.0,0.4,7.884018971898323,0.495933347,2.182820394463093
43,572.0,0.4,7.836416340723,0.489021468,2.1675559161801345
44,576.0,0.4,7.789429862667165,0.482253086,2.1525034445399944
45,580.0,0.4,7.743047366117872,0.475624257,2.1376585931983394
46,584.0,0.4,7.6972570016617325,0.469131169,2.123017095984652
47,588.0,0.4,7.652047231421026,0.462770142,2.1085748028146885
48,592.0,0.4,7.607406818812458,0.456537619,2.0943276757686435
49,596.0,0.4,7.563324818709087,0.450430161,2.080271785327243
50,600.0,0.4,7.519790567986956,0.444444444,2.066403306758395
51,604.0,0.4,7.476793676438957,0.438577255,2.052718516647412
52,608.0,0.4,7.434324018039333,0.432825485,2.0392137895642053
53,612.0,0.4,7.392371722543056,0.427186125,2.025885594861171
54,616.0,0.4,7.350927167405195,0.421656266,2.012730493595839
55,620.0,0.4,7.309980970006062,0.416233091,1.99974513557264
56,624.0,0.4,7.269523980168702,0.410913872,1.9869262564984564
57,628.0,0.4,7.229547272955924,0.405695971,1.974270675246874
58,632.0,0.4,7.1900421417347395,0.400576831,1.9617752912263242
59,636.0,0.4,7.151000091496654,0.395553973,1.9494370818475422
60,640.0,0.4,7.112412832422829,0.390625,1.9372531000859952
61,644.0,0.4,7.074272273683685,0.385787585,1.9252204721351505
62,648.0,0.4,7.036570517462995,0.381039476,1.9133363951466618
63,652.0,0.4,6.999299853197019,0.376378486,1.9015981350537374
64,656.0,0.4,6.962452752019678,0.371802499,1.8900030244741415
65,660.0,0.4,6.9260218614051885,0.367309458,1.8785484606894498
66,664.0,0.4,6.89,0.362897373,1.8672319036973446
67,668.0,0.4,6.854380152636239,0.358564309,1.8560508743338875
68,672.0,0.4,6.819155465519255,0.35430839,1.8450029524628524
69,676.0,0.4,6.784319241582194,0.350127797,1.8340857752293445
70,680.0,0.4,6.749864936000833,0.346020761,1.8232970353750542
71,684.0,0.4,6.715786151862274,0.341985568,1.812634479612627
72,688.0,0.4,6.6820766359813355,0.338020552,1.8020959070567395
73,692.0,0.4,6.648730274858777,0.334124094,1.791679167709591
74,696.0,0.4,6.615741090775775,0.330294623,1.7813821609986162
75,700.0,0.4,6.583103238019292,0.326530612,1.7712028343643385
76,704.0,0.4,6.5508109992332395,0.322830579,1.761139181896359
77,708.0,0.4,6.5188587818905495,0.31919308,1.7511892430155889
78,712.0,0.4,6.4872411148815,0.315616715,1.7413511012008944
79,716.0,0.4,6.455952645213827,0.312100122,1.7316228827584315
80,720.0,0.4,6.424988134820365,0.308641975,1.7220027556319957
81,724.0,0.4,6.394342457470124,0.305240988,1.7124889282528133
82,728.0,0.4,6.364010595778935,0.301895906,1.7030796484272483
83,732.0,0.4,6.333987638315876,0.298605512,1.6937732022609793
84,736.0,0.4,6.304268776801958,0.29536862,1.6845679131182565
85,740.0,0.4,6.274849303397606,0.292184076,1.6754621406149146
86,744.0,0.4,6.245724608075691,0.289050757,1.6664542796438668
87,748.0,0.4,6.216890176076936,0.285967571,1.6575427594318675
88,752.0,0.4,6.188341585444726,0.282933454,1.6487260426263788
89,756.0,0.4,6.160074504636403,0.279950303,1.6400026244114243
90,760.0,0.4,6.132084690208313,0.277014066,1.6313710316513643
91,764.0,0.4,6.104367984571927,0.274118116,1.6228298220615665
92,768.0,0.4,6.076920313818512,0.271267361,1.6143775834049958
93,772.0,0.4,6.0497376856099105,0.268463583,1.6060129327137782
94,776.0,0.4,6.022816187133082,0.265705693,1.5977345155348412
95,780.0,0.4,5.9961519831161665,0.262990066,1.5895410051987653
96,784.0,0.4,5.969741313903922,0.26031075,1.5814311021110163
97,788.0,0.4,5.943580493590452,0.257672189,1.5734035330647675
98,792.0,0.4,5.917665908207244,0.255076013,1.5654570505745415
99,796.0,0.4,5.891994013964618,0.252521263,1.5575904322299459
100,800.0,0.4,5.86656133554474,0.250002348,1.549802480068796
101,804.0,0.4,5.841364464444444,0.247522084,1.5420920199689514
102,808.0,0.4,5.8164000573661685,0.245074012,1.534457901058214
103,812.0,0.4,5.791664834655386,0.242667642,1.526898995141671
104,816.0,0.4,5.767155578782949,0.240296526,1.5194141961458785
105,820.0,0.4,5.742869132870867,0.237955726,1.5120024195793131
106,824.0,0.4,5.718802399260042,0.235648977,1.5046626020085399
107,828.0,0.4,5.694952338118592,0.233377675,1.4973937005495614
108,832.0,0.4,5.671315966089416,0.231141053,1.4901946923738423
109,836.0,0.4,5.6478903549757105,0.228934457,1.483064574228513
110,840.0,0.4,5.62467263046319,0.22675737,1.476002361970282
111,844.0,0.4,5.601659970877837,0.224613104,1.4690070901126029
112,848.0,0.4,5.578849605978009,0.222500964,1.4620778113856567
113,852.0,0.4,5.556238815779804,0.220416646,1.4552135963087287
114,856.0,0.4,5.533824929414627,0.218362373,1.4484135327745757
115,860.0,0.4,5.511605324017911,0.216333153,1.4416767256453917
116,864.0,0.4,5.489577423648013,0.214336425,1.4350022963599964
117,868.0,0.4,5.4677386982343394,0.212365515,1.4283893825518859
118,872.0,0.4,5.4460866625537525,0.210419998,1.4218371376777945
119,876.0,0.4,5.424618875234406,0.208502742,1.4153447306564348
120,880.0,0.4,5.403332937786119,0.206613169,1.4089113455170874
121,884.0,0.4,5.3822264936565025,0.204747587,1.402536181057734
122,888.0,0.4,5.361297227312007,0.202905608,1.3962184505124289
123,892.0,0.4,5.340542863343137,0.201092175,1.3899573812276198
124,896.0,0.4,5.319961165593098,0.199299957,1.3837522143471392
125,900.0,0.4,5.299549936309162,0.197532329,1.3776022045055965
126,904.0,0.4,5.279307015316041,0.195786671,1.371506619529908
127,908.0,0.4,5.25923027921063,0.194066888,1.365464740148719
128,912.0,0.4,5.239317640577456,0.192368272,1.3594758597094703
129,916.0,0.4,5.219567047224221,0.19069049,1.3535392839028786
130,920.0,0.4,5.199976481436841,0.189035917,1.3476543304946054
131,924.0,0.4,5.180543959253396,0.1874041,1.3418203290638926
132,928.0,0.4,5.161267529756433,0.185792022,1.336036620748962
133,932.0,0.4,5.142145274383081,0.184199377,1.3303025579989667
134,936.0,0.4,5.123175306252466,0.182629637,1.3246175043323043
135,940.0,0.4,5.104355769509893,0.181078642,1.3189808341011031
136,944.0,0.4,5.0856848386873486,0.179546107,1.3133919322616916
137,948.0,0.4,5.067160718079806,0.178035334,1.3078501941508827
138,952.0,0.4,5.048781641136912,0.176542375,1.302355025267896
139,956.0,0.4,5.030545869869605,0.175066963,1.296905841061754
140,960.0,0.4,5.012451694271209,0.17361224,1.2915020667239967
141,964.0,0.4,4.9944974317526505,0.172174457,1.2861431369865528
142,968.0,0.4,4.976681426591334,0.170753364,1.2808284959246248
143,972.0,0.4,4.95900204939333,0.169350878,1.2755575967644412
144,976.0,0.4,4.941457696568488,0.167966657,1.2703299016957346
145,980.0,0.4,4.924046789818117,0.166598293,1.2651448816888131
146,984.0,0.4,4.906767775634871,0.165245555,1.2600020163160943
147,988.0,0.4,4.88961912481452,0.163911252,1.2549007935779726
148,992.0,0.4,4.87259933197926,0.162591051,1.2498407097329
149,996.0,0.4,4.855706915112249,0.161288696,1.244821269131563
150,1000.0,0.4,4.838940415103065,0.160000961,1.2398419840550368
