,wavelength,mua,mus,p,eV
0,400.0,129.94799840000002,10.535855356140354,1.0,3.099604960137592
1,404.0,138.06514320000002,10.448368674855036,0.980296049,3.068915802116428
2,408.0,150.5208996,10.362459728032519,0.961168781,3.038828392291757
3,412.0,156.80906470000002,10.278085009297735,0.942595909,3.0093252040170797
4,416.0,159.58532590000002,10.195202619089537,0.924556213,2.9803893847476846
5,420.0,159.48119720000003,10.113772190567149,0.907029478,2.952004723940564
6,424.0,153.92726100000002,10.033754819600478,0.88999644,2.9241556227713135
7,428.0,144.18574420000002,9.95511299858316,0.873438728,2.8968270655491515
8,432.0,131.6816382,9.877810553826075,0.85733882,2.870004592719993
9,436.0,107.653078,9.801812586306568,0.841679993,2.843674275355589
10,440.0,89.93315111,9.727085415564618,0.826446281,2.817822691034175
11,444.0,70.98985752,9.653596526551942,0.811622433,2.7924369010248578
12,448.0,53.84611857,9.581314519253597,0.797193878,2.7675044286942785
13,452.0,44.71423113,9.510209060914235,0.783146683,2.743013239059816
14,456.0,37.17915922,9.440250840712606,0.769467528,2.7189517194189405
15,460.0,31.64669318,9.371411526738676,0.756143667,2.6953086609892107
16,464.0,27.90691552,9.303663725137502,0.743162901,2.672073241497924
17,468.0,25.14795024,9.236980941293156,0.730513551,2.6492350086646086
18,472.0,23.06267025,9.17133754293438,0.71818443,2.626783864523383
19,476.0,21.45697518,9.106708725051487,0.706164819,2.604710050535792
20,480.0,20.195587879999998,9.043070476521224,0.694444444,2.5830041334479934
21,484.0,19.227708,8.98039954834299,0.683013455,2.5616569918492496
22,488.0,18.55668078,8.918673423396061,0.671862403,2.540659803391469
23,492.0,17.86157445,8.85787028763319,0.66098222,2.5200040326321886
24,496.0,17.26762329,8.79796900263133,0.650364204,2.4996814194658
25,500.0,17.00229368,8.738949079425183,0.64,2.4796839681100735
26,504.0,17.08819768,8.680790653553919,0.629881582,2.4600039366171367
27,508.0,17.179159809999998,8.623474461255686,0.62000124,2.440633826879994
28,512.0,17.57432373,8.566981816748596,0.610351563,2.421566375107494
29,516.0,18.98921333,8.511294590540489,0.600925425,2.4027945427423196
30,520.0,21.2110911,8.456395188713413,0.591715976,2.384311507798148
31,524.0,24.5271608,8.402266533131826,0.582716625,2.3661106565935817
32,528.0,29.449981909999998,8.348892042526709,0.573921028,2.3481855758618124
33,532.0,34.83817381,8.296255614410464,0.565323082,2.3305300452162347
34,536.0,39.64031996,8.244341607780253,0.556916908,2.3131380299534268
35,540.0,42.9665206,8.193134826569725,0.548696845,2.2960036741759944
36,544.0,43.97418176,8.142620503811575,0.540657439,2.2791212942188177
37,548.0,42.31620334,8.092784286475343,0.532793436,2.262485372363206
38,552.0,38.73378755,8.04361222094707,0.525099769,2.2460905508243423
39,556.0,35.63158637,7.995090739119129,0.517571554,2.2299316259982676
40,560.0,33.93497531,7.947206645060452,0.510204082,2.214003542955423
41,564.0,34.24486787,7.899947102239011,0.502992807,2.198301390168505
42,568.0,36.9000413,7.853299621269895,0.495933347,2.182820394463093
43,572.0,41.42321635,7.807252048163869,0.489021468,2.1675559161801345
44,576.0,44.678105959999996,7.761792553052626,0.482253086,2.1525034445399944
45,580.0,41.78851222,7.716909619368236,0.475624257,2.1376585931983394
46,584.0,32.3553785,7.67259203345552,0.469131169,2.123017095984652
47,588.0,21.691278869999998,7.628828874597175,0.462770142,2.1085748028146885
48,592.0,13.902518579999999,7.585609505432603,0.456537619,2.0943276757686435
49,596.0,9.113077551,7.542923562752334,0.450430161,2.080271785327243
50,600.0,6.16727645,7.500760948650921,0.444444444,2.066403306758395
51,604.0,4.322459732,7.459111822022097,0.438577255,2.052718516647412
52,608.0,3.169098277,7.417966590380719,0.432825485,2.0392137895642053
53,612.0,2.43794518,7.377315901996968,0.427186125,2.025885594861171
54,616.0,1.961755888,7.337150638328859,0.421656266,2.012730493595839
55,620.0,1.6439721009999997,7.297461906739955,0.416233091,1.99974513557264
56,624.0,1.410327058,7.258241033489723,0.410913872,1.9869262564984564
57,628.0,1.2373973989999998,7.2194795569847,0.405695971,1.974270675246874
58,632.0,1.103351456,7.18116922127914,0.400576831,1.9617752912263242
59,636.0,0.996226255,7.143301969814424,0.395553973,1.9494370818475422
60,640.0,0.907929954,7.1058699393870155,0.390625,1.9372531000859952
61,644.0,0.838212552,7.068865454335264,0.385787585,1.9252204721351505
62,648.0,0.777386215,7.032281020935793,0.381039476,1.9133363951466618
63,652.0,0.7302157049999999,6.996109322000696,0.376378486,1.9015981350537374
64,656.0,0.681951284,6.960343211667146,0.371802499,1.8900030244741415
65,660.0,0.6469300640000001,6.924975710371461,0.367309458,1.8785484606894498
66,664.0,0.61,6.89,0.362897373,1.8672319036973446
67,668.0,0.5628924599,6.855409419209667,0.358564309,1.8560508743338875
68,672.0,0.5141372267,6.821197458911097,0.35430839,1.8450029524628524
69,676.0,0.46200037110000003,6.787357757907959,0.350127797,1.8340857752293445
70,680.0,0.41260710459999994,6.7538840986860675,0.346020761,1.8232970353750542
71,684.0,0.3635586782,6.720770403346344,0.341985568,1.812634479612627
72,688.0,0.3189876653,6.688010729675864,0.338020552,1.8020959070567395
73,692.0,0.27694649260000004,6.65559926735157,0.334124094,1.791679167709591
74,696.0,0.24523492219999998,6.623530334271409,0.330294623,1.7813821609986162
75,700.0,0.22098215850000003,6.591798373007917,0.326530612,1.7712028343643385
76,704.0,0.19934766540000004,6.560397947379498,0.322830579,1.761139181896359
77,708.0,0.18364702860000004,6.529323739134851,0.31919308,1.7511892430155889
78,712.0,0.16855713979999998,6.498570544746173,0.315616715,1.7413511012008944
79,716.0,0.15715281039999995,6.468133272307018,0.312100122,1.7316228827584315
80,720.0,0.1468499943,6.4380069385307985,0.308641975,1.7220027556319957
81,724.0,0.1407272706,6.408186665846154,0.305240988,1.7124889282528133
82,728.0,0.13944235630000001,6.3786676795855195,0.301895906,1.7030796484272483
83,732.0,0.1416799555,6.349445305263435,0.298605512,1.6937732022609793
84,736.0,0.15274779319999998,6.320514965941244,0.29536862,1.6845679131182565
85,740.0,0.16937464319999995,6.291872179674985,0.292184076,1.6754621406149146
86,744.0,0.19771784380000001,6.263512557043428,0.289050757,1.6664542796438668
87,748.0,0.23404214349999997,6.235431798753319,0.285967571,1.6575427594318675
88,752.0,0.30622090299999993,6.20762569331901,0.282933454,1.6487260426263788
89,756.0,0.3374803246,6.18009011481381,0.279950303,1.6400026244114243
90,760.0,0.35037621480000003,6.152821020690443,0.277014066,1.6313710316513643
